type,risk,primaryAvg,secAvg,primProportion,secProportion,color
allergy,0,1.3,0.01,0.99,0.01,grey
allergy,1,1.72,0.04,0.98,0.02,grey
allergy,2,2.08,0.06,0.97,0.03,grey
allergy,3,2.22,0.07,0.97,0.03,grey
allergy,4,2.26,0.06,0.97,0.03,grey
allergy,5,2.38,0.07,0.97,0.03,grey
allergy,6,2.61,0.06,0.98,0.02,grey
allergy,7,2.5,0.04,0.98,0.02,grey
allergy,8,2.36,0.03,0.99,0.01,grey
allergy,9,2.6,0.07,0.97,0.03,grey
allergy,10,2.12,0.1,0.95,0.05,grey
allergy,11,1.82,0.06,0.97,0.03,grey
allergy,12,2.74,0,1,0,grey
prescription,0,7,1,0.88,0.13,grey
prescription,1,11,1,0.92,0.08,grey
prescription,2,16,3,0.84,0.16,grey
prescription,3,17,3,0.85,0.15,grey
prescription,4,18,3,0.86,0.14,grey
prescription,5,21,4,0.84,0.16,grey
prescription,6,24,5,0.83,0.17,grey
prescription,7,21,6,0.78,0.22,grey
prescription,8,18,5,0.78,0.22,grey
prescription,9,19,6,0.76,0.24,grey
prescription,10,23,8,0.74,0.26,grey
prescription,11,25,10,0.71,0.29,grey
prescription,12,26,11,0.70,0.30,grey
immunization,0,5.35,0.01,1,0,grey
immunization,1,3.92,0.02,0.99,0.01,grey
immunization,2,4.29,0.02,1,0,grey
immunization,3,4.03,0.03,0.99,0.01,grey
immunization,4,4.97,0.03,0.99,0.01,grey
immunization,5,4.91,0.03,0.99,0.01,grey
immunization,6,5.02,0.03,0.99,0.01,grey
immunization,7,5.54,0.01,1,0,grey
immunization,8,4.8,0.04,0.99,0.01,grey
immunization,9,4.35,0.02,1,0,grey
immunization,10,4.71,0.01,1,0,grey
immunization,11,4.37,0.04,0.99,0.01,grey
immunization,12,5.81,0.05,0.99,0.01,grey
vitals,0,10.31,1.16,0.9,0.1,grey
vitals,1,24.46,2.83,0.9,0.1,grey
vitals,2,36.03,3.52,0.91,0.09,grey
vitals,3,43.38,3.29,0.93,0.07,grey
vitals,4,46.47,3.72,0.93,0.07,grey
vitals,5,55.99,4.06,0.93,0.07,grey
vitals,6,67.74,5.97,0.92,0.08,grey
vitals,7,60.83,4.87,0.93,0.07,grey
vitals,8,44.32,3.38,0.93,0.07,grey
vitals,9,56.32,5.53,0.91,0.09,grey
vitals,10,42.78,3.45,0.93,0.07,grey
vitals,11,35.32,0.82,0.98,0.02,grey
vitals,12,60.12,1.26,0.98,0.02,grey
