type,risk,primaryAvg,secAvg,primProportion,secProportion
allergy,0,1,0,0.99,0.01
allergy,1,2,0,0.98,0.02
allergy,2,2,0,0.97,0.03
allergy,3,2,0,0.97,0.03
allergy,4,2,0,0.97,0.03
allergy,5,2,0,0.97,0.03
allergy,6,3,0,0.98,0.02
allergy,7,3,0,0.98,0.02
allergy,8,2,0,0.99,0.01
allergy,9,3,0,0.97,0.03
allergy,10,2,0,0.95,0.05
allergy,11,2,0,0.97,0.03
allergy,12,3,0,1,0
prescription,0,7,1,0.88,0.13
prescription,1,11,1,0.92,0.08
prescription,2,16,3,0.84,0.16
prescription,3,17,3,0.85,0.15
prescription,4,18,3,0.86,0.14
prescription,5,21,4,0.84,0.16
prescription,6,24,5,0.83,0.17
prescription,7,21,6,0.78,0.22
prescription,8,18,5,0.78,0.22
prescription,9,19,6,0.76,0.24
prescription,10,23,8,0.74,0.26
prescription,11,25,10,0.71,0.29
prescription,12,26,11,0.7,0.3
immunization,0,5,0,1,0
immunization,1,4,0,0.99,0.01
immunization,2,4,0,1,0
immunization,3,4,0,0.99,0.01
immunization,4,5,0,0.99,0.01
immunization,5,5,0,0.99,0.01
immunization,6,5,0,0.99,0.01
immunization,7,6,0,1,0
immunization,8,5,0,0.99,0.01
immunization,9,4,0,1,0
immunization,10,5,0,1,0
immunization,11,4,0,0.99,0.01
immunization,12,6,0,0.99,0.01
vitals,0,10,1,0.9,0.1
vitals,1,24,3,0.9,0.1
vitals,2,36,4,0.91,0.09
vitals,3,43,3,0.93,0.07
vitals,4,46,4,0.93,0.07
vitals,5,56,4,0.93,0.07
vitals,6,68,6,0.92,0.08
vitals,7,61,5,0.93,0.07
vitals,8,44,3,0.93,0.07
vitals,9,56,6,0.91,0.09
vitals,10,43,3,0.93,0.07
vitals,11,35,1,0.98,0.02
vitals,12,60,1,0.98,0.02
