cost,outcome,patexp,discharge,income,city,zip,state,provider,providerid,color
0.002727885,0.877936963,0.024068768,0.496275072,0.573065903,Taunton,2780,MA,MORTON HOSPITAL,1,#00CED1
0.003572169,0.148997135,0.928366762,0.078510029,0.490544413,Wooster,44691,OH,WOOSTER COMMUNITY HOSPITAL,2,#00CED1
0.005269433,0.944412607,0.84469914,0.62234957,0.996561605,Winchester,1890,MA,WINCHESTER HOSPITAL,3,#00CED1
0.00682854,0.395988539,0.64469914,0.181661891,0.463037249,Dover,44622,OH,UNION HOSPITAL,4,#00CED1
0.008422093,0.51747851,0.455014327,0.283094556,0.186246418,Uniontown,15401,PA,UNIONTOWN HOSPITAL,5,#00CED1
0.010169362,0.10487106,0.318051576,0.042979943,0.288252149,West Branch,48661,MI,WEST BRANCH REGIONAL MEDICAL CENTER,6,#00CED1
0.012247734,0.858452722,0.024068768,0.795988539,0.415472779,Brockton,2301,MA,GOOD SAMARITAN MEDICAL CENTER,7,#00CED1
0.015910729,0.772492837,0.122636103,0.640687679,0.897994269,Norwood,2062,MA,NORWOOD HOSPITAL,8,#00CED1
0.016003795,0.085386819,0.625787966,0.161604585,0.545558739,Appleton,54911,WI,APPLETON MEDICAL CENTER,9,#00CED1
0.018194206,0.877936963,0.386819484,0.15243553,0.570200573,Lockport,14094,NY,EASTERN NIAGARA HOSPITAL,10,#00CED1
0.018943877,0.703724928,0.986246418,0.033810888,0.154154728,Alexander City,35010,AL,RUSSELL HOSPITAL,11,#00CED1
0.019253073,0.016045845,0.476790831,0.138108883,0.475644699,Ithaca,14850,NY,CAYUGA MEDICAL CENTER AT ITHACA,12,#00CED1
0.020019947,0.350716332,0.779942693,0.13008596,0.271633238,Alma,48801,MI,MIDMICHIGAN MEDICAL CENTER-GRATIOT,13,#00CED1
0.020130822,0.010888252,0.891690544,0.26991404,0.196561605,Holyoke,1040,MA,HOLYOKE MEDICAL CENTER,14,#00CED1
0.020684307,0.828653295,0.084813754,0.115759312,0.43495702,Cortland,13045,NY,"CORTLAND REGIONAL MEDICAL CENTER, INC",15,#00CED1
0.022629697,0.148997135,0.435530086,0.000573066,0.505444126,Geneva,14456,NY,GENEVA GENERAL HOSPITAL,16,#00CED1
0.027848625,0.459025788,0.367335244,0.171919771,0.394269341,Olean,14760,NY,OLEAN GENERAL HOSPITAL,17,#00CED1
0.028118738,0.898567335,0.589111748,0.06991404,0.520916905,Potsdam,13676,NY,CANTON-POTSDAM HOSPITAL,18,#00CED1
0.028139607,0.181088825,0.712320917,0.473925501,0.314613181,Rochester,14620,NY,HIGHLAND HOSPITAL,19,#00CED1
0.028770863,0.181088825,0.856160458,0.340401146,0.350143266,Wheeling,26003,WV,WHEELING HOSPITAL,20,#00CED1
0.029120973,0.772492837,0.64469914,0.125501433,0.342120344,Elkins,26241,WV,DAVIS MEDICAL CENTER,21,#00CED1
0.029525716,0.800573066,0.084813754,0.188538682,0.220630372,Jamestown,14701,NY,WOMAN'S CHRISTIAN ASSOCIATION,22,#00CED1
0.030532526,0.824068768,0.975931232,0.343266476,0.659598854,Jasper,47546,IN,MEMORIAL HOSPITAL AND HEALTH CARE CENTER,23,#00CED1
0.032259894,0.395988539,0.913467049,0.000573066,0.382808023,Southbridge,1550,MA,HARRINGTON MEMORIAL HOSPITAL,24,#00CED1
0.032514822,0.085386819,0.938681948,0.721489971,0.264183381,Opelika,36801,AL,EAST ALABAMA MEDICAL CENTER,25,#00CED1
0.033027692,0.915186246,0.107163324,0.318051576,0.697994269,Beaver,15009,PA,HERITAGE VALLEY BEAVER,26,#00CED1
0.034669104,0.561604585,0.870487106,0.758166189,0.886532951,Charlottesville,22911,VA,MARTHA JEFFERSON HOSPITAL,27,#00CED1
