type,risk,primaryAvg,secAvg,primProportion,secProportion,color,,
allergy,0,1,0,0.99,0.01,grey,,
allergy,1,2,0,0.98,0.02,grey,,
allergy,2,2,0,0.97,0.03,grey,,
allergy,3,2,0,0.97,0.03,grey,,
allergy,4,2,0,0.97,0.03,grey,,
allergy,5,2,0,0.97,0.03,grey,,
allergy,6,3,0,0.98,0.02,grey,,
allergy,7,3,0,0.98,0.02,grey,,
allergy,8,2,0,0.99,0.01,grey,,
allergy,9,3,0,0.97,0.03,grey,,
allergy,10,2,0,0.95,0.05,grey,,
allergy,11,2,0,0.97,0.03,grey,,
allergy,12,3,0,1,0,grey,,
prescription,0,7,1,0.88,0.13,grey,,
prescription,1,11,1,0.92,0.08,grey,,
prescription,2,16,3,0.84,0.16,grey,,
prescription,3,17,3,0.85,0.15,grey,,
prescription,4,18,3,0.86,0.14,grey,,
prescription,5,21,4,0.84,0.16,grey,,
prescription,6,24,5,0.83,0.17,grey,,
prescription,7,21,6,0.78,0.22,grey,,
prescription,8,18,5,0.78,0.22,grey,,
prescription,9,19,6,0.76,0.24,grey,,
prescription,10,23,8,0.74,0.26,grey,,
prescription,11,25,10,0.71,0.29,grey,,
prescription,12,26,11,0.70,0.30,grey,,
immunization,0,5,0,1,0,grey,,
immunization,1,4,0,0.99,0.01,grey,,
immunization,2,4,0,1,0,grey,,
immunization,3,4,0,0.99,0.01,grey,,
immunization,4,5,0,0.99,0.01,grey,,
immunization,5,5,0,0.99,0.01,grey,,
immunization,6,5,0,0.99,0.01,grey,,
immunization,7,6,0,1,0,grey,,
immunization,8,5,0,0.99,0.01,grey,,
immunization,9,4,0,1,0,grey,,
immunization,10,5,0,1,0,grey,,
immunization,11,4,0,0.99,0.01,grey,,
immunization,12,6,0,0.99,0.01,grey,,
vitals,0,10,1,0.9,0.1,grey,,
vitals,1,24,3,0.9,0.1,grey,,
vitals,2,36,4,0.91,0.09,grey,,
vitals,3,43,3,0.93,0.07,grey,,
vitals,4,46,4,0.93,0.07,grey,,
vitals,5,56,4,0.93,0.07,grey,,
vitals,6,68,6,0.92,0.08,grey,,
vitals,7,61,5,0.93,0.07,grey,,
vitals,8,44,3,0.93,0.07,grey,,
vitals,9,56,6,0.91,0.09,grey,,
vitals,10,43,3,0.93,0.07,grey,,
vitals,11,35,1,0.98,0.02,grey,,
vitals,12,60,1,0.98,0.02,grey,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
