PCPID,memberMonths,rn
1,1505992,1
71681,262957,2
56346,119242,3
56668,111206,4
21540,101213,5
26587,98321,6
54492,93536,7
67719,93294,8
40833,91265,9
44972,85755,10
15819,83314,11
3569,81500,12
85453,80026,13
70353,79921,14
52938,77031,15
8353,67978,16
57120,67229,17
57702,66447,18
24323,65673,19
73275,63201,20
23768,62102,21
30131,61463,22
25821,59192,23
50653,58191,24
25077,57891,25
33185,57154,26
13813,56255,27
25081,56095,28
2766,55363,29
85454,54628,30
28971,54125,31
32850,52889,32
30957,51675,33
54117,51449,34
68399,51285,35
42931,50969,36
13276,50940,37
57653,50913,38
14523,50909,39
21804,50575,40
38063,50343,41
4267,50270,42
23822,50190,43
531,49940,44
17471,49770,45
25746,49506,46
2548,49411,47
33226,49136,48
67340,47912,49
67006,47912,50
10626,47888,51
30630,47018,52
8235,46534,53
73166,46422,54
54454,45396,55
41228,45194,56
6473,45053,57
37634,45023,58
74734,44966,59
48704,44664,60
67417,43960,61
66627,43935,62
58076,43897,63
59883,43723,64
20243,43250,65
20992,43023,66
54534,42858,67
33520,42723,68
41016,41936,69
6770,41642,70
38072,41572,71
57232,41064,72
8644,40838,73
45192,40537,74
11230,40435,75
53464,40405,76
64915,40366,77
73239,40163,78
17756,39906,79
49004,39773,80
32973,39640,81
58975,39597,82
22396,39580,83
42196,39545,84
17304,39528,85
37818,39446,86
18375,39259,87
73375,39141,88
77575,38935,89
5285,38907,90
32014,38890,91
10439,38818,92
13801,38769,93
10276,38236,94
75853,37809,95
6308,37410,96
30337,37270,97
57587,37119,98
50266,37083,99
2621,37079,100
58383,36886,101
39145,36852,102
64206,36764,103
24637,36022,104
53230,36019,105
53462,35828,106
42951,35812,107
54943,35804,108
25893,35594,109
37724,35403,110
4009,35264,111
69190,35175,112
47207,34724,113
9240,34218,114
32782,34142,115
29602,33916,116
20771,33808,117
22135,33805,118
44991,33771,119
50553,33462,120
51117,33345,121
13579,33067,122
3536,33058,123
68961,32780,124
14075,32635,125
707,32209,126
5476,32048,127
54625,32016,128
19668,31817,129
29562,31662,130
40544,31594,131
57411,31436,132
10710,31381,133
29794,30916,134
28483,30821,135
57808,30808,136
46970,30780,137
49219,30728,138
6933,30265,139
15065,30204,140
66992,29897,141
66704,29882,142
59118,29868,143
57258,29708,144
5494,29692,145
23022,29635,146
22594,29524,147
35051,29126,148
69325,29054,149
17903,28981,150
69111,28856,151
28449,28851,152
29165,28729,153
56622,28640,154
3865,28579,155
21961,28560,156
6633,28444,157
55590,28349,158
21073,28182,159
84274,28129,160
52743,28074,161
3399,28052,162
29397,27927,163
39089,27913,164
66889,27722,165
33652,27576,166
18977,27544,167
47560,27523,168
51716,27356,169
53175,27303,170
10492,27302,171
47055,27236,172
13692,27187,173
84691,27173,174
15213,27161,175
69112,27090,176
53461,27019,177
34097,26980,178
56575,26967,179
39123,26948,180
10594,26850,181
49159,26669,182
460,26497,183
42182,26293,184
33216,26208,185
25348,26201,186
79612,26172,187
10851,26133,188
24344,25982,189
5169,25803,190
27291,25796,191
74725,25747,192
38705,25683,193
41966,25654,194
42718,25572,195
31679,25536,196
755,25457,197
14054,25444,198
35372,25416,199
9833,25378,200
12362,25317,201
68689,25269,202
73378,25177,203
22513,25064,204
56717,24984,205
27231,24982,206
30452,24926,207
46001,24909,208
572,24767,209
6857,24620,210
19479,24475,211
1027,24464,212
29200,24411,213
2069,24381,214
74732,24353,215
3345,24284,216
68658,24239,217
32200,24003,218
16600,23932,219
58243,23899,220
27572,23745,221
38263,23652,222
9771,23638,223
5837,23531,224
30489,23529,225
52005,23304,226
48033,23171,227
55297,23133,228
52396,23062,229
38717,23040,230
28546,23010,231
74390,22844,232
51355,22791,233
5631,22767,234
66711,22369,235
12617,22129,236
25600,22120,237
60033,22108,238
4838,22101,239
70635,21997,240
47479,21970,241
69317,21921,242
27779,21902,243
21586,21884,244
46784,21879,245
17244,21848,246
24422,21799,247
26353,21564,248
49091,21545,249
68441,21515,250
15352,21496,251
64319,21458,252
21584,21376,253
53213,21311,254
43885,21120,255
47610,21094,256
16798,21041,257
54651,21032,258
49059,20987,259
76173,20975,260
47447,20927,261
56424,20847,262
29073,20827,263
26537,20767,264
21820,20568,265
54052,20518,266
51424,20488,267
58160,20480,268
63824,20474,269
19026,20449,270
49027,20411,271
5978,20375,272
49364,20292,273
49054,20264,274
47990,19922,275
11814,19858,276
51585,19837,277
49360,19822,278
29392,19803,279
3312,19792,280
18567,19708,281
19517,19666,282
29512,19642,283
26978,19615,284
44885,19575,285
20428,19569,286
21144,19542,287
38144,19448,288
8673,19300,289
13202,19236,290
48235,19213,291
53145,19196,292
52605,19117,293
69306,19093,294
3526,18992,295
27413,18970,296
14453,18915,297
2964,18824,298
75519,18617,299
66106,18591,300
74733,18518,301
44630,18406,302
76746,18366,303
8845,18342,304
23564,18281,305
31009,18184,306
26763,18161,307
22908,18143,308
56628,18095,309
38793,18059,310
82242,17987,311
73264,17922,312
75346,17877,313
39215,17783,314
24720,17722,315
14406,17542,316
6845,17479,317
2682,17477,318
46484,17462,319
7950,17367,320
25933,17335,321
10971,17315,322
37826,17234,323
58677,17207,324
69583,17181,325
30407,17179,326
24245,17173,327
32401,17168,328
63335,17156,329
32679,17135,330
28467,17101,331
38629,17097,332
3931,17053,333
7815,17038,334
57241,17020,335
1958,16941,336
68543,16923,337
65528,16906,338
4900,16871,339
20853,16768,340
28924,16721,341
18885,16699,342
11284,16642,343
11240,16610,344
54227,16602,345
46690,16601,346
6814,16563,347
51008,16558,348
42941,16542,349
28128,16489,350
52596,16473,351
38588,16396,352
68556,16385,353
5533,16327,354
86769,16236,355
807,16166,356
9618,16154,357
12482,16125,358
52282,16059,359
39771,16022,360
42169,15994,361
39739,15981,362
82351,15933,363
70686,15924,364
71958,15916,365
27528,15903,366
50732,15796,367
31601,15754,368
18787,15742,369
39476,15667,370
54363,15660,371
58880,15643,372
53320,15632,373
32180,15605,374
1999,15454,375
32098,15447,376
67353,15389,377
13777,15177,378
47715,15068,379
46440,15034,380
54200,15022,381
51992,15020,382
31389,15001,383
5691,14982,384
49066,14945,385
12491,14911,386
22256,14874,387
21960,14822,388
5656,14731,389
59676,14682,390
57359,14671,391
41537,14652,392
19045,14635,393
35164,14625,394
65081,14618,395
75253,14553,396
21535,14545,397
1257,14360,398
1993,14344,399
3641,14343,400
34834,14264,401
74078,14259,402
67502,14182,403
24426,14180,404
10872,14179,405
35039,14127,406
13271,14107,407
25257,14023,408
58381,14020,409
66615,14015,410
6613,14007,411
16681,14005,412
6,13945,413
7574,13916,414
15999,13903,415
11524,13851,416
21076,13844,417
51281,13757,418
39811,13727,419
20950,13650,420
48564,13631,421
