cost,discharge,quality,quality_care,quality_efficiency,patexp,outcome,provider_id,provider,strokewidth,bubblesize,markme?,state
0.500644404,0.217104342,0.544178113,0.55666153,0.51160587,0.851558573,0.154885012,500008,UNIVERSITY OF WASHINGTON MEDICAL CTR,.25px,0,,nyc
0.50229173,0.267334646,0.799070542,0.77390595,0,0.739595092,0.751229802,360132,FORT HAMILTON HUGHES MEMORIAL HOSPITAL,.25px,0,,nyc
0.503389153,0,0.033635188,0.194856667,0,0.255568098,0,330086,MONTEFIORE MOUNT VERNON HOSPITAL,.25px,0,,nyc
0.503414198,0.413361788,0.156030356,0.327971918,0,0.042558977,0.589340892,450133,MIDLAND MEMORIAL HOSPITAL,.25px,0,,nyc
0.503985426,0.47197205,0.248424123,0.024538361,0,0.650365439,0.589340892,140048,ADVOCATE TRINITY HOSPITAL,.25px,0,,nyc
0.504069,0.261171216,0.663112532,0.343364013,0,0.84018754,0.672201119,450200,WADLEY REGIONAL MEDICAL CENTER,.25px,0,,nyc
0.504610648,0.231861966,0.242260693,0.275450927,0,0.083412299,0.751229802,110075,EAST GEORGIA REGIONAL MEDICAL CENTER,.25px,0,,nyc
0.504835488,0.670132909,0.755176704,0.325714192,0,0.753586407,0.881667092,410012,MIRIAM HOSPITAL,.25px,0,,nyc
0.505713847,0.682047775,0.874663195,0.26568667,0.889247781,0.786512965,0.709132258,110168,REDMOND REGIONAL MEDICAL CENTER,.25px,0,,nyc
0.506543046,0.04511334,0.055446148,0.010093852,0.51160587,0.185562083,0.465099991,450347,HUNTSVILLE MEMORIAL HOSPITAL,.25px,0,,nyc
0.507404985,0.102808975,0.454190391,0.55666153,0.51160587,0.227115795,0.668938127,450747,PALESTINE REGIONAL MEDICAL CENTER,.25px,0,,nyc
0.507675922,0.748156327,0.19469187,0.222320185,0.51160587,0.122123252,0.510740683,140276,LOYOLA UNIVERSITY MEDICAL CENTER,.25px,0,,nyc
0.508804654,0.319929796,0.599245227,0.134952744,0,0.851558573,0.709132258,60119,MEDICAL CENTER OF THE ROCKIES,.25px,0,,nyc
0.509988273,0.358113397,0.594573215,0.627417375,0,0.650365439,0.589340892,310005,HUNTERDON MEDICAL CENTER,.25px,0,,nyc
0.510627171,0.118555384,0.419327461,0.85177281,0,0.539061148,0.252123829,140292,ADVENTIST GLENOAKS,.25px,0,,nyc
0.510865438,0.315752177,0.990804295,0.607592225,0.889247781,0.906123054,0.978287918,140043,CGH MEDICAL CENTER,.25px,0,,nyc
