type,risk,maptype,mapping
allergy,0,primary,PENICILLINS
allergy,0,primary,CODEINE
allergy,0,primary,SULFA (SULFONAMIDE ANTIBIOTICS)
allergy,0,primary,AMOXICILLIN
allergy,0,primary,ACETAMINOPHEN
allergy,0,primary,PENICILLIN G
allergy,0,primary,ASPIRIN
allergy,1,primary,PENICILLINS
allergy,1,primary,CODEINE
allergy,1,primary,SULFA (SULFONAMIDE ANTIBIOTICS)
allergy,1,primary,ACETAMINOPHEN
allergy,1,primary,ASPIRIN
allergy,2,primary,PENICILLINS
allergy,2,primary,CODEINE
allergy,2,primary,ACETAMINOPHEN
allergy,2,primary,SULFA (SULFONAMIDE ANTIBIOTICS)
allergy,2,primary,ASPIRIN
allergy,3,primary,CODEINE
allergy,3,primary,PENICILLINS
allergy,3,primary,SULFA (SULFONAMIDE ANTIBIOTICS)
allergy,3,primary,ACETAMINOPHEN
allergy,3,primary,ASPIRIN
allergy,4,primary,CODEINE
allergy,4,primary,Penicillins
allergy,4,primary,SULFA (SULFONAMIDE ANTIBIOTICS)
allergy,4,primary,LISINOPRIL
allergy,4,primary,ACETAMINOPHEN
allergy,5,primary,CODEINE
allergy,5,primary,PENICILLINS
allergy,5,primary,SULFA (SULFONAMIDE ANTIBIOTICS)
allergy,5,primary,LISINOPRIL
allergy,5,primary,ACETAMINOPHEN
allergy,6,primary,CODEINE
allergy,6,primary,PENICILLINS
allergy,6,primary,SULFA (SULFONAMIDE ANTIBIOTICS)
allergy,6,primary,ASPIRIN
allergy,6,primary,ACETAMINOPHEN
allergy,7,primary,CODEINE
allergy,7,primary,PENICILLINS
allergy,7,primary,LISINOPRIL
allergy,7,primary,MORPHINE
allergy,7,primary,ACETAMINOPHEN
allergy,8,primary,PENICILLINS
allergy,8,primary,CODEINE
allergy,8,primary,LISINOPRIL
allergy,8,primary,ASPIRIN
allergy,8,primary,SULFA (SULFONAMIDE ANTIBIOTICS)
allergy,9,primary,PENICILLINS
allergy,9,primary,CODEINE
allergy,9,primary,ACETAMINOPHEN
allergy,9,primary,SULFA (SULFONAMIDE ANTIBIOTICS)
allergy,9,primary,MORPHINE
allergy,10,primary,CODEINE
allergy,10,primary,PENICILLINS
allergy,10,primary,LISINOPRIL
allergy,10,primary,MORPHINE
allergy,10,primary,IBUPROFEN
prescription,0,primary,Naproxen 500 MG Oral Tablet
