Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,ZIP,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
47036860,7/31/2020 0:04,7/31/2020 1:52,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11385,KOREAN SQUARE,KOREAN SQUARE,BEND,GRANDVIEW AVENUE,BEND,GRANDVIEW AVENUE,,RIDGEWOOD,KOREAN SQUARE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,7/31/2020 5:52,05 QUEENS,4200809999,QUEENS,"1,011,039","196,960",ONLINE,Unspecified,QUEENS,,,,,,,,40.7072459,-73.9033762,"(40.7072459, -73.9033762)"
47037321,7/31/2020 0:06,7/31/2020 2:09,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11385,66-16 STIER PLACE,STIER PLACE,PUTNAM AVENUE,DEAD END,PUTNAM AVENUE,DEAD END,,RIDGEWOOD,STIER PLACE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,7/31/2020 6:09,05 QUEENS,4035310018,QUEENS,"1,012,582","196,455",ONLINE,Unspecified,QUEENS,,,,,,,,40.705855,-73.897813,"(40.705855, -73.897813)"
47036436,7/31/2020 0:31,7/31/2020 3:07,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11385,88-19 81 AVENUE,81 AVENUE,88 STREET,WOODHAVEN BOULEVARD,88 STREET,WOODHAVEN BOULEVARD,,RIDGEWOOD,81 AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,7/31/2020 7:08,05 QUEENS,4038610057,QUEENS,"1,023,330","195,914",PHONE,Unspecified,QUEENS,,,,,,,,40.7043291,-73.8590506,"(40.7043291, -73.8590506)"
47037733,7/31/2020 1:46,7/31/2020 4:24,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11385,72-18 72 PLACE,72 PLACE,COOPER AVENUE,MYRTLE AVENUE,COOPER AVENUE,MYRTLE AVENUE,,RIDGEWOOD,72 PLACE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,7/31/2020 8:24,05 QUEENS,4036940015,QUEENS,"1,018,165","195,433",ONLINE,Unspecified,QUEENS,,,,,,,,40.7030302,-73.8776816,"(40.7030302, -73.8776816)"
47034639,7/31/2020 1:47,7/31/2020 4:21,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11385,72-18 72 PLACE,72 PLACE,COOPER AVENUE,MYRTLE AVENUE,COOPER AVENUE,MYRTLE AVENUE,,RIDGEWOOD,72 PLACE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,7/31/2020 8:21,05 QUEENS,4036940015,QUEENS,"1,018,165","195,433",ONLINE,Unspecified,QUEENS,,,,,,,,40.7030302,-73.8776816,"(40.7030302, -73.8776816)"
47045185,7/31/2020 2:12,8/31/2020 10:44,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11385,72-03 FOREST AVENUE,FOREST AVENUE,,,,,ADDRESS,Ridgewood,,,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",8/31/2020 10:44,05 QUEENS,4035870011,QUEENS,"1,012,150","194,328",PHONE,Unspecified,QUEENS,,,,,,,,40.70001826,-73.89937994,"(40.70001825694757, -73.8993799391989)"
47049000,7/31/2020 2:31,7/31/2020 13:23,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11385,932 SENECA AVENUE,SENECA AVENUE,HANCOCK ST,WEIRFIELD ST,,,ADDRESS,Ridgewood,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,7/31/2020 13:23,05 QUEENS,4035610032,QUEENS,"1,011,077","194,379",ONLINE,Unspecified,QUEENS,,,,,,,,40.7001615,-73.9032495,"(40.7001615, -73.9032495)"
47051647,7/31/2020 3:27,7/31/2020 5:10,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11385,,,,,81 AVENUE,88 STREET,INTERSECTION,Ridgewood,,N/A,Closed,,Service Request status for this request is available on the Department of Transportation’s website. Please click the “Learn More” link below.,7/31/2020 5:10,05 QUEENS,,QUEENS,"1,023,174","195,820",UNKNOWN,Unspecified,QUEENS,,,,,,,,40.70407182,-73.85961383,"(40.704071818654015, -73.85961382754228)"
47043360,7/31/2020 7:14,7/31/2020 10:46,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11385,72-19 72 PLACE,72 PLACE,COOPER AVENUE,MYRTLE AVENUE,COOPER AVENUE,MYRTLE AVENUE,,RIDGEWOOD,72 PLACE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,7/31/2020 14:47,05 QUEENS,4036950050,QUEENS,"1,018,174","195,426",ONLINE,Unspecified,QUEENS,,,,,,,,40.7030109,-73.8776492,"(40.7030109, -73.8776492)"
47046175,7/31/2020 7:58,7/31/2020 9:48,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11385,67-10 64 PLACE,64 PLACE,DEAD END,68 AVENUE,DEAD END,68 AVENUE,,RIDGEWOOD,64 PLACE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,7/31/2020 13:49,05 QUEENS,4036220027,QUEENS,"1,013,688","196,681",MOBILE,Unspecified,QUEENS,,,,,,,,40.7064717,-73.8938229,"(40.7064717, -73.8938229)"
