Cost,RiskAdjustedCost,Frequency,Minor,Major,PCPID,PCPNPI,memberMonths,ServiceProviderID,InNetwork
91.33,83.49,1,Dermatology,Specialist Visits,1003804725,1003804725,179,1083721781,0
86.88,277.98,1,Podiatrist,Specialist Visits,1003804725,1003804725,179,1699765503,0
93.26,59.68,1,Podiatrist,Specialist Visits,1003804725,1003804725,179,1831285972,0
84.76,89.03,1,Chiropractor,Specialist Visits,1003840836,1003840836,322,1083946636,0
193.06,927.04,1,Dermatology,Specialist Visits,1003840836,1003840836,322,1447205190,1
92.21,309.94,1,Otolaryngology,Specialist Visits,1003840836,1003840836,322,1699766790,0
130.04,257.12,1,Dermatology,Specialist Visits,1003840836,1003840836,322,1841424272,0
87.74,93.58,1,Orthopaedic Surgery,Specialist Visits,1003804725,1003804725,179,1346273687,1
93.26,33.16,1,Orthopaedic Surgery,Specialist Visits,1003804725,1003804725,179,1538183298,1
88.69,141.89,1,Orthopaedic Surgery,Specialist Visits,1003804725,1003804725,179,1679700116,1
91.79,83.91,1,Orthopaedic Surgery,Specialist Visits,1003804725,1003804725,179,1922065820,1
62.89,201.22,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1043410038,0
413.70,217.29,3,Dermatology,Specialist Visits,1003843590,1003843590,835,1063517407,1
0.00,0.00,1,Podiatrist,Specialist Visits,1003840836,1003840836,322,1144409749,0
221.15,135.15,1,Orthopaedic Surgery,Specialist Visits,1003840836,1003840836,322,1588869168,0
167.68,153.29,1,Podiatrist,Specialist Visits,1003804725,1003804725,179,1104851419,0
93.26,99.47,1,Orthopaedic Surgery,Specialist Visits,1003804725,1003804725,179,1457339491,0
91.12,194.37,1,Orthopaedic Surgery,Specialist Visits,1003804725,1003804725,179,1952398174,0
205.57,147.02,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1003802026,0
144.23,99.04,2,Chiropractor,Specialist Visits,1003843590,1003843590,835,1043212814,0
90.40,64.28,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1083670228,1
379.85,380.40,3,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1124230305,0
838.61,1098.51,6,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1043294077,1
767.54,932.39,7,Otolaryngology,Specialist Visits,1003843590,1003843590,835,1104930007,1
202.11,161.75,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1174584833,0
193.06,138.07,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1174662407,0
224.30,837.71,1,Dermatology,Specialist Visits,1003843590,1003843590,835,1225327844,0
86.93,50.57,1,Plastic Surgery,Specialist Visits,1003843590,1003843590,835,1235187691,0
159.53,114.09,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1235197872,1
88.69,19.57,1,Otolaryngology,Specialist Visits,1003804725,1003804725,179,1326306317,0
86.88,185.32,1,Plastic Surgery,Specialist Visits,1003804725,1003804725,179,1932148939,1
475.30,748.69,3,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1306879093,0
0.00,0.00,1,Orthopaedic Surgery,Specialist Visits,1003840836,1003840836,322,1013177534,0
221.15,337.89,1,Orthopaedic Surgery,Specialist Visits,1003840836,1003840836,322,1306848643,0
254.30,371.64,1,Dermatology,Specialist Visits,1003843590,1003843590,835,1386602753,1
85.01,45.33,1,Podiatrist,Specialist Visits,1003843590,1003843590,835,1477530905,0
749.04,593.44,6,Dermatology,Specialist Visits,1003843590,1003843590,835,1477741031,1
84.34,67.46,1,Otolaryngology,Specialist Visits,1003843590,1003843590,835,1508880964,0
250.30,193.22,2,Otolaryngology,Specialist Visits,1003840836,1003840836,322,1710145883,1
130.04,145.70,1,Otolaryngology,Specialist Visits,1003840836,1003840836,322,1871752444,0
678.35,338.28,8,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1538143482,1
1178.17,739.89,16,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1619901386,1
44.36,56.77,1,Otolaryngology,Specialist Visits,1003843590,1003843590,835,1639128416,0
84.23,2831.21,1,Chiropractor,Specialist Visits,1003843590,1003843590,835,1659469823,0
468.04,333.00,4,Otolaryngology,Specialist Visits,1003843590,1003843590,835,1013053230,1
0.00,0.00,1,Chiropractor,Specialist Visits,1003843590,1003843590,835,1083732077,0
541.36,427.30,5,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1104804665,0
194.76,251.79,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1265471353,0
379.18,175.11,3,Plastic Surgery,Specialist Visits,1003843590,1003843590,835,1275530172,1
1718.33,1465.11,14,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1285639740,1
120.03,58.47,1,Otolaryngology,Specialist Visits,1003843590,1003843590,835,1295831626,0
87.74,70.18,1,Otolaryngology,Specialist Visits,1003843590,1003843590,835,1124020730,1
172.45,214.69,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1154610384,1
523.93,748.27,3,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1366462616,1
1697.08,4120.41,16,Otolaryngology,Specialist Visits,1003843590,1003843590,835,1417167826,1
286.68,120.45,1,Dermatology,Specialist Visits,1003843590,1003843590,835,1447546213,0
87.19,23.25,1,Podiatrist,Specialist Visits,1003843590,1003843590,835,1457335770,0
82.62,66.09,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1164697264,0
454.49,650.70,4,Dermatology,Specialist Visits,1003843590,1003843590,835,1205931789,1
168.93,334.33,2,Chiropractor,Specialist Visits,1003843590,1003843590,835,1215926589,0
0.00,0.00,1,Chiropractor,Specialist Visits,1003843590,1003843590,835,1225464241,0
91.33,146.11,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1255307062,1
83.75,11.65,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1275793374,0
201.94,35.54,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1306848890,1
253.16,127.88,5,Chiropractor,Specialist Visits,1003843590,1003843590,835,1558368951,0
30.00,30.56,1,Chiropractor,Specialist Visits,1003843590,1003843590,835,1578895975,0
87.83,31.22,1,Podiatrist,Specialist Visits,1003843590,1003843590,835,1417288895,0
0.00,0.00,1,Chiropractor,Specialist Visits,1003843590,1003843590,835,1417289562,0
88.69,63.06,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1871530402,1
204.44,79.90,1,Dermatology,Specialist Visits,1003843590,1003843590,835,1538264098,1
91.12,64.79,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1568441095,1
85.39,49.68,1,Dermatology,Specialist Visits,1003843590,1003843590,835,1578761482,0
1320.99,1681.93,7,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1619901386,0
277.50,198.46,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1649270810,0
87.83,62.45,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1932188455,0
279.78,155.72,3,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1952564536,1
84.51,18.65,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1679529887,1
105.57,48.25,1,Podiatrist,Specialist Visits,1003843590,1003843590,835,1689656498,0
196.59,92.09,2,Podiatrist,Specialist Visits,1003843590,1003843590,835,1689612962,0
169.74,39.90,2,Podiatrist,Specialist Visits,1003843590,1003843590,835,1699765503,0
224.50,69.87,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1821198466,0
86.33,78.92,1,Podiatrist,Specialist Visits,1003848532,1003848532,1738,1023056074,0
195.20,95.09,1,Otolaryngology,Specialist Visits,1003843590,1003843590,835,1841388436,0
86.43,553.09,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1922049402,1
0.00,0.00,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1932178415,0
60.00,84.03,1,Chiropractor,Specialist Visits,1003848532,1003848532,1738,1043232242,0
84.78,18.04,1,Chiropractor,Specialist Visits,1003848532,1003848532,1738,1063520385,0
441.68,1231.15,2,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1083670228,1
347.35,162.24,3,Dermatology,Specialist Visits,1003843590,1003843590,835,1821251836,1
1648.97,2029.17,13,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1841274875,1
202.35,138.81,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1902828304,1
